Date,VH,Team,OpenOU,OpenOver,OpenUnder,CloseOU,CloseOver,CloseUnder,Total,OpenResult,CloseResult
2008-10-04,H,TampaBay,5.5,-110,-110,5.5,-105,-115,3,Under,Under
2008-10-04,H,Ottawa,6,-130,110,6,100,-120,7,Over,Over
2008-10-05,H,NYRangers,5.5,105,-125,5.5,110,-130,3,Under,Under
2008-10-05,H,Pittsburgh,6,-120,100,6,105,-125,4,Under,Under
2008-10-09,H,Detroit,5.5,-115,-105,5.5,-115,-105,5,Under,Under
2008-10-09,H,Colorado,5.5,-110,-110,5.5,105,-125,9,Over,Over
2008-10-09,H,Vancouver,5,-135,115,5,-130,110,6,Over,Over
2008-10-09,H,SanJose,5,115,-135,5,100,-120,5,Push,Push
2008-10-10,H,NewJersey,5,100,-120,5,100,-120,3,Under,Under
2008-10-10,H,Carolina,6,105,-125,6,125,-145,10,Over,Over
2008-10-10,H,NYRangers,5.5,105,-125,5.5,120,-140,6,Over,Over
2008-10-10,H,Buffalo,6,-105,-115,6,115,-135,3,Under,Under
2008-10-10,H,Atlanta,6,-105,-115,6,125,-145,11,Over,Over
2008-10-10,H,St.Louis,5,-130,110,5,-140,120,7,Over,Over
2008-10-10,H,Dallas,5,-110,-110,5,-120,100,9,Over,Over
2008-10-11,H,Ottawa,5.5,-120,100,5.5,105,-125,5,Under,Under
2008-10-11,H,NYIslanders,5,-110,-110,5,-115,-105,7,Over,Over
2008-10-11,H,Washington,5.5,-120,100,5.5,-105,-115,6,Over,Over
2008-10-11,H,Florida,5.5,-105,-115,5.5,100,-120,5,Under,Under
2008-10-11,H,Toronto,5.5,-125,105,5.5,-110,-110,7,Over,Over
2008-10-11,H,Philadelphia,5.5,110,-130,5.5,110,-130,7,Over,Over
2008-10-11,H,Pittsburgh,5,-130,110,5,-120,100,3,Under,Under
2008-10-11,H,TampaBay,5.5,-110,-110,5.5,-115,-105,7,Over,Over
2008-10-11,H,Nashville,5,-120,100,5,-130,110,4,Under,Under
2008-10-11,H,Minnesota,5,-110,-110,5,-110,-110,7,Over,Over
2008-10-11,H,Phoenix,5.5,110,-130,5.5,120,-140,4,Under,Under
2008-10-11,H,Calgary,5,-110,-110,5,-135,115,9,Over,Over
2008-10-11,H,SanJose,5.5,100,-120,5.5,110,-130,4,Under,Under
2008-10-12,H,Anaheim,5,-110,-110,5,-120,100,6,Over,Over
2008-10-12,H,Edmonton,5.5,-130,110,5.5,-140,120,5,Under,Under
2008-10-12,H,LosAngeles,5.5,100,-120,5.5,120,-140,1,Under,Under
2008-10-13,H,Toronto,5.5,105,-125,5.5,105,-125,9,Over,Over
2008-10-13,H,NYIslanders,5.5,100,-120,5.5,110,-130,8,Over,Over
2008-10-13,H,Philadelphia,5.5,-130,110,5.5,-120,100,8,Over,Over
2008-10-13,H,NYRangers,5.5,105,-125,5,110,-130,5,Under,Push
2008-10-13,H,Carolina,5.5,-130,110,5.5,-110,-110,4,Under,Under
2008-10-13,H,Washington,5.5,-105,-115,5.5,-105,-115,6,Over,Over
2008-10-13,H,Chicago,5.5,105,-125,5.5,-110,-110,5,Under,Under
2008-10-14,H,Atlanta,5.5,-105,-115,5.5,110,-130,6,Over,Over
2008-10-14,H,Pittsburgh,5.5,-125,105,5.5,-115,-105,5,Under,Under
2008-10-14,H,Calgary,5.5,-120,100,5.5,-120,100,9,Over,Over
2008-10-14,H,SanJose,5,-110,-110,5,-110,-110,7,Over,Over
2008-10-14,H,LosAngeles,5,-120,100,5,-115,-105,9,Over,Over
2008-10-15,H,NYRangers,5.5,-110,-110,5,-120,100,4,Under,Under
2008-10-15,H,Montreal,5.5,-110,-110,5.5,100,-120,7,Over,Over
2008-10-15,H,Dallas,5,-125,105,5,-130,110,10,Over,Over
2008-10-15,H,Chicago,5.5,-110,-110,5.5,100,-120,5,Under,Under
