game,ou
ANA,Anaheim
ARI,Arizona
ATL,Atlanta
BOS,Boston
BUF,Buffalo
CAR,Carolina
CBJ,Columbus
CGY,Calgary
CHI,Chicago
COL,Colorado
DAL,Dallas
DET,Detroit
EDM,Edmonton
FLA,Florida
L.A,LosAngeles
LAK,LosAngeles
MIN,Minnesota
MTL,Montreal
N.J,NewJersey
NJD,NewJersey
NSH,Nashville
NYI,NYIslanders
NYR,NYRangers
OTT,Ottawa
PHI,Philadelphia
PIT,Pittsburgh
S.J,SanJose
SJS,SanJose
STL,St.Louis
T.B,TampaBay
TBL,TampaBay
TOR,Toronto
VAN,Vancouver
VGK,Vegas
WPG,Winnipeg
WSH,Washington
